stn,wban,date,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
011070,99999,2022-01-08,2022,01,08,30.2,4,18.0,4,9999.9,0,999.9,0,6.2,4,6,4,7,999.9,9999.9,,9999.9,,0.0,I,999.9,0,0,0,0,0,0
011080,99999,2022-03-04,2022,03,04,34.4,4,27.3,4,1021.4,4,20.2,4,999.9,0,10.4,4,20,39.0,42.1,,26.2,,0.0,G,999.9,0,0,0,0,0,0
011080,99999,2022-01-07,2022,01,07,22.5,4,13.4,4,1005.4,4,4.2,4,999.9,0,9.1,4,11.5,18.3,24.4,,18.0,,0.0,I,999.9,0,0,0,0,0,0
011080,99999,2022-03-29,2022,03,29,29.0,4,23.4,4,1011.5,4,10.3,4,999.9,0,3.2,4,4.3,27.0,31.8,,25.3,,0.0,I,999.9,0,0,0,0,0,0
011150,99999,2022-02-14,2022,02,14,33.1,4,25.9,4,1000.6,4,998.5,4,999.9,0,16.8,4,25.1,31.7,33.8,,31.6,,0.0,I,999.9,0,0,0,0,0,0
011150,99999,2022-02-28,2022,02,28,39.9,4,9999.9,0,1015.0,4,12.9,4,999.9,0,20.1,4,28.7,39.4,41.0,,38.5,,0.0,A,999.9,0,0,0,0,0,0
011160,99999,2022-02-26,2022,02,26,39.2,4,31.5,4,9999.9,0,999.9,0,6.2,4,23.5,4,28,39.0,41.0,*,33.8,*,99.99,,999.9,1,1,0,0,0,11000
011160,99999,2022-03-26,2022,03,26,33.8,4,22.1,4,9999.9,0,999.9,0,6.2,4,4,4,7,999.9,9999.9,,9999.9,,99.99,,999.9,1,0,0,0,1000,1000
011220,99999,2022-02-05,2022,02,05,36.5,4,32.5,4,9999.9,0,999.9,0,3.9,4,12.2,4,15.9,35.0,37.4,*,33.8,*,99.99,,999.9,1,0,0,1,0,10010
011240,99999,2022-02-17,2022,02,17,23.3,4,17.4,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,26.6,,20.5,,0.0,I,999.9,0,0,0,0,0,0
011320,99999,2022-01-26,2022,01,26,29.9,4,26.9,4,1001.6,4,962.6,4,999.9,0,5.9,4,9.3,21.6,33.4,,27.9,,0.0,I,999.9,0,0,0,0,0,0
011320,99999,2022-01-12,2022,01,12,34.1,4,31.1,4,1006.5,4,967.6,4,999.9,0,999.9,0,999.9,999.9,35.4,,32.4,*,0.0,I,999.9,0,0,0,0,0,0
011330,99999,2022-02-17,2022,02,17,21.9,4,14.5,4,9999.9,0,999.9,0,999.9,0,4.2,4,6,12.2,30.6,,17.6,,0.0,I,999.9,0,0,0,0,0,0
011390,99999,2022-05-06,2022,05,06,43.7,4,42.4,4,9999.9,0,999.9,0,2.6,4,34.8,4,44.7,62.2,44.6,*,42.8,*,99.99,,999.9,1,0,0,0,0,10000
011390,99999,2022-07-11,2022,07,11,54.5,4,46.4,4,9999.9,0,999.9,0,6.2,4,9.2,4,9.9,999.9,55.4,*,53.6,*,0.0,I,999.9,0,0,0,0,0,0
011390,99999,2022-03-10,2022,03,10,42.8,4,37.9,4,9999.9,0,999.9,0,5.0,4,24,4,31.1,45.1,9999.9,,9999.9,,99.99,,999.9,1,0,0,0,0,10000
